location,frequency,col,col 1,col 2,col 3,col 4,co 5
      canada,50,3.6,_,"2,688.20",0,_,_
     ontario,30,1.88,_,"1,612.90",0,_,_
     toronto,24,1.37,_,"1,290.30",0,_,_
      ottawa,11,0.25,_,591.4,0,_,_
    victoria,10,0.16,_,537.6,0,_,_
    winnipeg,9,0.08,_,483.9,0,_,_
   vancouver,8,-0.01,_,430.1,0,_,_
    montreal,6,-0.18,_,322.6,0,_,_
british columbia,4,-0.35,_,215.1,0,_,_
     halifax,4,-0.35,_,215.1,0,_,_
     alberta,3,-0.44,_,161.3,0,_,_
     calgary,3,-0.44,_,161.3,0,_,_
    edmonton,3,-0.44,_,161.3,0,_,_
 nova scotia,3,-0.44,_,161.3,0,_,_
    manitoba,2,-0.52,_,107.5,0,_,_
      quebec,2,-0.52,_,107.5,0,_,_
      regina,2,-0.52,_,107.5,0,_,_
   saskatoon,2,-0.52,_,107.5,0,_,_
new brunswick,1,-0.61,_,53.8,0,_,_
saskatchewan,1,-0.61,_,53.8,0,_,_
