location,frequency
canada         ,50
ontario             ,30
toronto            ,24
ottawa            ,11
victoria                   ,10
winnipeg                  ,9
vancouver                  ,8
montreal                    ,6
british columbia            ,4
halifax           ,4
alberta            ,3
calgary            ,3
edmonton                  ,3
nova scotia              ,3
manitoba                   ,2
quebec              ,2
regina             ,2
saskatoon                  ,2
new brunswick                   ,1
saskatchewan                ,1
