Words,Frequency,Trend,Trend 2,Trend 3,Trend 4,Trend 5,Trend 6
           cihr,57,1.42,Ð,63.8,0,Ð,Ð
          nserc,54,1.34,Ð,60.4,0,Ð,Ð
           irsc,49,1.19,Ð,54.8,0,Ð,Ð
       research,49,1.19,Ð,54.8,0,Ð,Ð
            ssh,45,1.08,Ð,50.3,0,Ð,Ð
          vimrc,38,0.87,Ð,42.5,0,Ð,Ð
     budget2016,35,0.79,Ð,39.1,0,Ð,Ð
          grant,28,0.58,Ð,31.3,0,Ð,Ð
     additional,21,0.38,Ð,23.5,0,Ð,Ð
       annually,20,0.35,Ð,22.4,0,Ð,Ð
      discovery,20,0.35,Ð,22.4,0,Ð,Ð
       sshrc101,20,0.35,Ð,22.4,0,Ð,Ð
       supports,20,0.35,Ð,22.4,0,Ð,Ð
     sciencemin,18,0.3,Ð,20.1,0,Ð,Ð
         ikuwow,14,0.18,Ð,15.7,0,Ð,Ð
     stevegaetz,14,0.18,Ð,15.7,0,Ð,Ð
 yorkuniversity,14,0.18,Ð,15.7,0,Ð,Ð
       thinking,13,0.15,Ð,14.5,0,Ð,Ð
   mitacscanada,12,0.12,Ð,13.4,0,Ð,Ð
        winners,12,0.12,Ð,13.4,0,Ð,Ð
            bio,11,0.09,Ð,12.3,0,Ð,Ð
         cdnpse,11,0.09,Ð,12.3,0,Ð,Ð
         centre,11,0.09,Ð,12.3,0,Ð,Ð
         design,11,0.09,Ð,12.3,0,Ð,Ð
      recherche,11,0.09,Ð,12.3,0,Ð,Ð
        results,11,0.09,Ð,12.3,0,Ð,Ð
    sshrcimpact,11,0.09,Ð,12.3,0,Ð,Ð
     talkgaming,11,0.09,Ð,12.3,0,Ð,Ð
          aware,10,0.06,Ð,11.2,0,Ð,Ð
         canada,10,0.06,Ð,11.2,0,Ð,Ð
        excited,10,0.06,Ð,11.2,0,Ð,Ð
     indigenous,10,0.06,Ð,11.2,0,Ð,Ð
       resource,10,0.06,Ð,11.2,0,Ð,Ð
       applying,9,0.04,Ð,10.1,0,Ð,Ð
          great,9,0.04,Ð,10.1,0,Ð,Ð
         online,9,0.04,Ð,10.1,0,Ð,Ð
           year,9,0.04,Ð,10.1,0,Ð,Ð
        digital,8,0.01,Ð,8.9,0,Ð,Ð
         funded,8,0.01,Ð,8.9,0,Ð,Ð
        funding,8,0.01,Ð,8.9,0,Ð,Ð
            got,8,0.01,Ð,8.9,0,Ð,Ð
           help,8,0.01,Ð,8.9,0,Ð,Ð
          ideas,8,0.01,Ð,8.9,0,Ð,Ð
     literature,8,0.01,Ð,8.9,0,Ð,Ð
    scholarship,8,0.01,Ð,8.9,0,Ð,Ð
        support,8,0.01,Ð,8.9,0,Ð,Ð
          alana,7,-0.02,Ð,7.8,0,Ð,Ð
          april,7,-0.02,Ð,7.8,0,Ð,Ð
       daughter,7,-0.02,Ð,7.8,0,Ð,Ð
drrashidsumaila,7,-0.02,Ð,7.8,0,Ð,Ð
